StudentID,LabID,GroupID,DayID,PretestScore,PosttestScore,Gain
25,10,Experimental,W,80,80,0
26,10,Experimental,W,40,40,0
27,10,Experimental,W,80,80,0
28,10,Experimental,W,60,80,20
1,11,Control,M,80,80,0
2,11,Control,M,60,60,0
3,11,Control,M,60,60,0
4,11,Control,M,60,80,20
5,11,Control,M,100,100,0
6,11,Control,M,80,80,0
7,11,Control,M,100,100,0
8,11,Control,M,60,60,0
9,11,Control,M,60,60,0
10,11,Control,M,80,80,0
11,11,Experimental,W,40,40,0
12,11,Experimental,W,40,40,0
13,11,Experimental,W,60,60,0
14,11,Experimental,W,20,20,0
15,11,Experimental,W,0,0,0
16,11,Experimental,W,40,60,20
17,11,Experimental,W,40,40,0
18,11,Experimental,W,60,60,0
19,11,Experimental,W,60,60,0
20,11,Experimental,W,60,60,0
21,11,Experimental,W,80,80,0
22,11,Experimental,W,80,80,0
23,11,Experimental,W,40,40,0
24,11,Experimental,W,60,60,0
25,11,Experimental,W,60,60,0
26,11,Experimental,W,60,60,0
27,11,Experimental,W,40,40,0
28,11,Experimental,W,20,20,0
